"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Feb 23 21:01:54 GMT 2024","Fri Feb 23 21:01:54 GMT 2024","27","API Suite","API Test","com.github.dtitar.teamcity.api.CreateProjectTest","com.github.dtitar.teamcity.api.CreateProjectTest","positiveProjectNamesTest","positiveProjectNamesTest",""
"failed","Fri Feb 23 21:01:59 GMT 2024","Fri Feb 23 21:01:59 GMT 2024","8","API Suite","API Test","com.github.dtitar.teamcity.api.BuildConfigurationTest","com.github.dtitar.teamcity.api.BuildConfigurationTest","userShouldHaveRightsToCreateBuildConfiguration","userShouldHaveRightsToCreateBuildConfiguration",""
"failed","Fri Feb 23 20:59:42 GMT 2024","Fri Feb 23 21:00:08 GMT 2024","26533","Surefire suite","Surefire test","com.github.dtitar.teamcity.ui.SetupTest","com.github.dtitar.teamcity.ui.SetupTest","startUpTest","startUpTest",""
"failed","Fri Feb 23 21:01:44 GMT 2024","Fri Feb 23 21:01:46 GMT 2024","2379","API Suite","API Test","com.github.dtitar.teamcity.api.RolesTest","com.github.dtitar.teamcity.api.RolesTest","projectAdminShouldHaveRightsToCreateBuildConfigToHisProject","projectAdminShouldHaveRightsToCreateBuildConfigToHisProject",""
"failed","Fri Feb 23 21:01:57 GMT 2024","Fri Feb 23 21:01:57 GMT 2024","15","API Suite","API Test","com.github.dtitar.teamcity.api.CreateProjectTest","com.github.dtitar.teamcity.api.CreateProjectTest","requestShouldCreateProjectWithProvidedParentProject","requestShouldCreateProjectWithProvidedParentProject",""
"failed","Fri Feb 23 21:01:47 GMT 2024","Fri Feb 23 21:01:47 GMT 2024","48","API Suite","API Test","com.github.dtitar.teamcity.api.RolesTest","com.github.dtitar.teamcity.api.RolesTest","systemAdminShouldHaveRightsToCreateProject","systemAdminShouldHaveRightsToCreateProject",""
"failed","Fri Feb 23 21:01:47 GMT 2024","Fri Feb 23 21:01:47 GMT 2024","42","API Suite","API Test","com.github.dtitar.teamcity.api.RolesTest","com.github.dtitar.teamcity.api.RolesTest","projectAdminShouldNotHaveRightsToCreateBuildConfigToAnotherProject","projectAdminShouldNotHaveRightsToCreateBuildConfigToAnotherProject",""
"failed","Fri Feb 23 21:01:52 GMT 2024","Fri Feb 23 21:01:52 GMT 2024","16","API Suite","API Test","com.github.dtitar.teamcity.api.CreateProjectTest","com.github.dtitar.teamcity.api.CreateProjectTest","positiveProjectNamesTest","positiveProjectNamesTest",""
"failed","Fri Feb 23 21:01:51 GMT 2024","Fri Feb 23 21:01:51 GMT 2024","10","API Suite","API Test","com.github.dtitar.teamcity.api.CreateProjectTest","com.github.dtitar.teamcity.api.CreateProjectTest","positiveProjectIdTest","positiveProjectIdTest",""
"broken","Fri Feb 23 21:01:27 GMT 2024","Fri Feb 23 21:01:34 GMT 2024","6446","Surefire suite","Surefire test","com.github.dtitar.teamcity.api.SetupAgentTest","com.github.dtitar.teamcity.api.SetupAgentTest","authorizeAgent","authorizeAgent",""
